from_seq,to_seq,from_name,to_name,srt_min_northbound,srt_min_southbound,eng_alw_nb_min,eng_alw_sb_min,loop_available,notes
0,1,CREWE,WINSFORD,4,4,0,0,1,Class 4 intermodal ~75mph (STEER C6 5min / 1.22)
1,2,WINSFORD,HARTFORD,1,1,1,0,0,STEER: eng alw applied on NB (into Parkside) only
2,3,HARTFORD,HARTFORD JN,1,1,0,0,0,Hartford Jn is 2018 bottleneck (2 slow berths)
3,4,HARTFORD JN,ACTON BRIDGE,2,2,1,0,1,Acton Bridge UGL available
4,5,ACTON BRIDGE,WEAVER JN,1,1,0,0,0,
5,6,WEAVER JN,ACTON GRANGE JN,6,6,1,0,0,C6=7min scaled to 6 (WCML long 2-track section)
6,7,ACTON GRANGE JN,WARRINGTON BQ,3,3,0,0,0,C6=3min unchanged (junction traversal)
7,8,WARRINGTON BQ,WINWICK JN,3,3,1,0,1,C6=4min scaled to 3
8,9,WINWICK JN,EARLESTOWN,3,3,0,0,0,C6=4min scaled to 3; Chat Moss transition
9,10,EARLESTOWN,NEWTON-LE-WILLOWS,3,3,0,0,1,C6=4min scaled to 3; Earlestown loop
10,11,NEWTON-LE-WILLOWS,PARKSIDE JN,4,4,0,0,0,C6=5min scaled to 4; +2 min stop at Parkside
